time_step,error_history,max_cost_history,min_cost_history,cost_norm_history,rugged_terr,warm_start,imperfect_state
0,0.19230505853086016,904922.3487285828,853056.1211452825,51866.22758330032,False,False,False
1,1.0187288010653452,231599.821234987,221632.29284940482,9967.528385582176,False,False,False
2,1.0195088289376746,228007.27195005747,211073.07728528787,16934.194664769602,False,False,False
3,1.020341381773466,218868.39447429567,199816.50467396766,19051.889800328005,False,False,False
4,1.0214091379256625,205703.00540362418,189880.97807603626,15822.027327587915,False,False,False
5,1.022520606261691,200114.2583851089,183607.32432771503,16506.934057393868,False,False,False
6,1.02383613994976,194618.86257523025,174510.62668388482,20108.235891345423,False,False,False
7,1.0242724069598652,183752.55270920083,163721.13560928588,20031.41709991495,False,False,False
8,1.0240262178378012,172228.7293070736,154354.66458210137,17874.06472497224,False,False,False
9,1.0229909379557363,166124.50587014298,149797.72286079498,16326.783009348,False,False,False
10,1.0216681666191714,160691.98427296616,143827.64580214763,16864.338470818533,False,False,False
11,1.0204738177280794,157879.16882910085,135218.82752783608,22660.341301264765,False,False,False
12,1.0189359695052977,143193.91879863368,123543.34093140074,19650.577867232932,False,False,False
13,1.0169241090543786,133937.24628214666,118091.82147694926,15845.4248051974,False,False,False
14,1.0147480959709543,131778.3946031826,107106.93673432813,24671.457868854457,False,False,False
15,1.0129173344013647,119115.43585019547,99580.63470096124,19534.801149234234,False,False,False
16,1.0111842159981064,111153.19701723263,92662.45322969354,18490.74378753909,False,False,False
17,1.0093012863540929,102030.48785110126,86399.01292776511,15631.47492333615,False,False,False
18,1.0074544016925464,101021.56126358008,82209.82509537169,18811.736168208387,False,False,False
19,1.0058531515717177,94451.76193039722,80760.30648873567,13691.455441661543,False,False,False
20,1.004620039330201,91404.30986056026,74089.8875533336,17314.42230722666,False,False,False
21,1.0036070425084498,83559.74836706069,69489.36767569817,14070.380691362516,False,False,False
22,1.0027303286471636,80263.33600029779,67611.17663131579,12652.159368982,False,False,False
23,1.0018631380532785,73606.20866731442,61935.27134563435,11670.937321680074,False,False,False
